Wall time,Step,Value
1732511221.8540308,44687,52.62641525268555
1732512781.0847785,89375,47.8419303894043
1732514341.4947906,134063,46.64457321166992
1732515900.5942729,178751,46.060733795166016
1732517457.8777292,223439,45.682003021240234
1732519025.2460666,268127,45.41246795654297
1732520591.4614434,312815,45.231361389160156
1732522148.2729135,357503,45.04219436645508
1732523700.5882666,402191,44.86542510986328
1732525261.7659423,446879,44.689720153808594
1732526824.9731543,491567,44.599117279052734
1732528384.2611887,536255,44.49504852294922
1732529938.6250768,580943,44.39741134643555
1732531506.3131607,625631,44.26136779785156
1732533057.616248,670319,44.166683197021484
1732534621.8342948,715007,44.09855270385742
1732536179.0166912,759695,44.03786849975586
1732537748.698603,804383,43.951419830322266
1732539315.8116312,849071,43.79249572753906
1732540884.7522607,893759,43.75956344604492
1732542447.6950583,938447,43.66619110107422
