datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,MIDATL,24240.6
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,MIDATL,23275.1
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,MIDATL,22504.9
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,MIDATL,22052.2
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,MIDATL,21908.4
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,MIDATL,22132.9
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,MIDATL,22648.9
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,MIDATL,23231.9
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,MIDATL,23910.9
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,MIDATL,25026.3
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,MIDATL,26056.9
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,MIDATL,26770.4
