evaluated_at_utc,evaluated_at_ept,forecast_hour_beginning_utc,forecast_hour_beginning_ept,forecast_area,forecast_load_mw
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 5:00:00 AM,12/18/2023 12:00:00 AM,MIDATL,23747
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 5:00:00 AM,12/18/2023 12:00:00 AM,MIDATL,23903
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 5:00:00 AM,12/18/2023 12:00:00 AM,MIDATL,23903
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 5:00:00 AM,12/18/2023 12:00:00 AM,MIDATL,23903
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 5:00:00 AM,12/18/2023 12:00:00 AM,MIDATL,23903
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 6:00:00 AM,12/18/2023 1:00:00 AM,MIDATL,22969
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 6:00:00 AM,12/18/2023 1:00:00 AM,MIDATL,23107
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 6:00:00 AM,12/18/2023 1:00:00 AM,MIDATL,23107
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 6:00:00 AM,12/18/2023 1:00:00 AM,MIDATL,23107
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 6:00:00 AM,12/18/2023 1:00:00 AM,MIDATL,23107
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 7:00:00 AM,12/18/2023 2:00:00 AM,MIDATL,22625
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 7:00:00 AM,12/18/2023 2:00:00 AM,MIDATL,22719
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 7:00:00 AM,12/18/2023 2:00:00 AM,MIDATL,22719
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 7:00:00 AM,12/18/2023 2:00:00 AM,MIDATL,22719
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 7:00:00 AM,12/18/2023 2:00:00 AM,MIDATL,22719
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 8:00:00 AM,12/18/2023 3:00:00 AM,MIDATL,22642
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 8:00:00 AM,12/18/2023 3:00:00 AM,MIDATL,22766
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 8:00:00 AM,12/18/2023 3:00:00 AM,MIDATL,22766
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 8:00:00 AM,12/18/2023 3:00:00 AM,MIDATL,22766
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 8:00:00 AM,12/18/2023 3:00:00 AM,MIDATL,22766
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 9:00:00 AM,12/18/2023 4:00:00 AM,MIDATL,23315
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 9:00:00 AM,12/18/2023 4:00:00 AM,MIDATL,23529
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 9:00:00 AM,12/18/2023 4:00:00 AM,MIDATL,23529
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 9:00:00 AM,12/18/2023 4:00:00 AM,MIDATL,23529
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 9:00:00 AM,12/18/2023 4:00:00 AM,MIDATL,23529
12/18/2023 10:45:00 AM,12/18/2023 5:45:00 AM,12/18/2023 9:00:00 AM,12/18/2023 4:00:00 AM,MIDATL,23552
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 10:00:00 AM,12/18/2023 5:00:00 AM,MIDATL,25021
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 10:00:00 AM,12/18/2023 5:00:00 AM,MIDATL,25401
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 10:00:00 AM,12/18/2023 5:00:00 AM,MIDATL,25401
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 10:00:00 AM,12/18/2023 5:00:00 AM,MIDATL,25401
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 10:00:00 AM,12/18/2023 5:00:00 AM,MIDATL,25401
12/18/2023 10:45:00 AM,12/18/2023 5:45:00 AM,12/18/2023 10:00:00 AM,12/18/2023 5:00:00 AM,MIDATL,25052
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 11:00:00 AM,12/18/2023 6:00:00 AM,MIDATL,27740
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 11:00:00 AM,12/18/2023 6:00:00 AM,MIDATL,28146
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 11:00:00 AM,12/18/2023 6:00:00 AM,MIDATL,28146
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 11:00:00 AM,12/18/2023 6:00:00 AM,MIDATL,28146
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 11:00:00 AM,12/18/2023 6:00:00 AM,MIDATL,28146
12/18/2023 10:45:00 AM,12/18/2023 5:45:00 AM,12/18/2023 11:00:00 AM,12/18/2023 6:00:00 AM,MIDATL,28146
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 12:00:00 PM,12/18/2023 7:00:00 AM,MIDATL,29542
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 12:00:00 PM,12/18/2023 7:00:00 AM,MIDATL,29862
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 12:00:00 PM,12/18/2023 7:00:00 AM,MIDATL,29862
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 12:00:00 PM,12/18/2023 7:00:00 AM,MIDATL,29862
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 12:00:00 PM,12/18/2023 7:00:00 AM,MIDATL,29862
12/18/2023 10:45:00 AM,12/18/2023 5:45:00 AM,12/18/2023 12:00:00 PM,12/18/2023 7:00:00 AM,MIDATL,29862
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 1:00:00 PM,12/18/2023 8:00:00 AM,MIDATL,30110
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 1:00:00 PM,12/18/2023 8:00:00 AM,MIDATL,30354
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 1:00:00 PM,12/18/2023 8:00:00 AM,MIDATL,30354
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 1:00:00 PM,12/18/2023 8:00:00 AM,MIDATL,30354
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 1:00:00 PM,12/18/2023 8:00:00 AM,MIDATL,30354
12/18/2023 2:45:00 PM,12/18/2023 9:45:00 AM,12/18/2023 1:00:00 PM,12/18/2023 8:00:00 AM,MIDATL,30354
12/18/2023 10:45:00 AM,12/18/2023 5:45:00 AM,12/18/2023 1:00:00 PM,12/18/2023 8:00:00 AM,MIDATL,30354
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 2:00:00 PM,12/18/2023 9:00:00 AM,MIDATL,30079
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 2:00:00 PM,12/18/2023 9:00:00 AM,MIDATL,30359
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 2:00:00 PM,12/18/2023 9:00:00 AM,MIDATL,30359
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 2:00:00 PM,12/18/2023 9:00:00 AM,MIDATL,30359
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 2:00:00 PM,12/18/2023 9:00:00 AM,MIDATL,30359
12/18/2023 2:45:00 PM,12/18/2023 9:45:00 AM,12/18/2023 2:00:00 PM,12/18/2023 9:00:00 AM,MIDATL,30359
12/18/2023 10:45:00 AM,12/18/2023 5:45:00 AM,12/18/2023 2:00:00 PM,12/18/2023 9:00:00 AM,MIDATL,30359
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 3:00:00 PM,12/18/2023 10:00:00 AM,MIDATL,29924
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 3:00:00 PM,12/18/2023 10:00:00 AM,MIDATL,30247
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 3:00:00 PM,12/18/2023 10:00:00 AM,MIDATL,30247
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 3:00:00 PM,12/18/2023 10:00:00 AM,MIDATL,30247
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 3:00:00 PM,12/18/2023 10:00:00 AM,MIDATL,30247
12/18/2023 4:45:00 PM,12/18/2023 11:45:00 AM,12/18/2023 3:00:00 PM,12/18/2023 10:00:00 AM,MIDATL,30859
12/18/2023 2:45:00 PM,12/18/2023 9:45:00 AM,12/18/2023 3:00:00 PM,12/18/2023 10:00:00 AM,MIDATL,30247
12/18/2023 10:45:00 AM,12/18/2023 5:45:00 AM,12/18/2023 3:00:00 PM,12/18/2023 10:00:00 AM,MIDATL,30247
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 4:00:00 PM,12/18/2023 11:00:00 AM,MIDATL,29849
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 4:00:00 PM,12/18/2023 11:00:00 AM,MIDATL,30163
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 4:00:00 PM,12/18/2023 11:00:00 AM,MIDATL,30163
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 4:00:00 PM,12/18/2023 11:00:00 AM,MIDATL,30163
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 4:00:00 PM,12/18/2023 11:00:00 AM,MIDATL,30163
12/18/2023 4:45:00 PM,12/18/2023 11:45:00 AM,12/18/2023 4:00:00 PM,12/18/2023 11:00:00 AM,MIDATL,30754
12/18/2023 2:45:00 PM,12/18/2023 9:45:00 AM,12/18/2023 4:00:00 PM,12/18/2023 11:00:00 AM,MIDATL,30163
12/18/2023 10:45:00 AM,12/18/2023 5:45:00 AM,12/18/2023 4:00:00 PM,12/18/2023 11:00:00 AM,MIDATL,30163
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 5:00:00 PM,12/18/2023 12:00:00 PM,MIDATL,29875
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 5:00:00 PM,12/18/2023 12:00:00 PM,MIDATL,30180
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 5:00:00 PM,12/18/2023 12:00:00 PM,MIDATL,30180
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 5:00:00 PM,12/18/2023 12:00:00 PM,MIDATL,30180
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 5:00:00 PM,12/18/2023 12:00:00 PM,MIDATL,30180
12/18/2023 4:45:00 PM,12/18/2023 11:45:00 AM,12/18/2023 5:00:00 PM,12/18/2023 12:00:00 PM,MIDATL,30792
12/18/2023 2:45:00 PM,12/18/2023 9:45:00 AM,12/18/2023 5:00:00 PM,12/18/2023 12:00:00 PM,MIDATL,30180
12/18/2023 10:45:00 AM,12/18/2023 5:45:00 AM,12/18/2023 5:00:00 PM,12/18/2023 12:00:00 PM,MIDATL,30180
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 6:00:00 PM,12/18/2023 1:00:00 PM,MIDATL,30058
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 6:00:00 PM,12/18/2023 1:00:00 PM,MIDATL,30328
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 6:00:00 PM,12/18/2023 1:00:00 PM,MIDATL,30328
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 6:00:00 PM,12/18/2023 1:00:00 PM,MIDATL,30328
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 6:00:00 PM,12/18/2023 1:00:00 PM,MIDATL,30328
12/18/2023 4:45:00 PM,12/18/2023 11:45:00 AM,12/18/2023 6:00:00 PM,12/18/2023 1:00:00 PM,MIDATL,30919
12/18/2023 2:45:00 PM,12/18/2023 9:45:00 AM,12/18/2023 6:00:00 PM,12/18/2023 1:00:00 PM,MIDATL,30328
12/18/2023 10:45:00 AM,12/18/2023 5:45:00 AM,12/18/2023 6:00:00 PM,12/18/2023 1:00:00 PM,MIDATL,30328
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 7:00:00 PM,12/18/2023 2:00:00 PM,MIDATL,30271
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 7:00:00 PM,12/18/2023 2:00:00 PM,MIDATL,30561
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 7:00:00 PM,12/18/2023 2:00:00 PM,MIDATL,30561
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 7:00:00 PM,12/18/2023 2:00:00 PM,MIDATL,30561
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 7:00:00 PM,12/18/2023 2:00:00 PM,MIDATL,30561
12/18/2023 4:45:00 PM,12/18/2023 11:45:00 AM,12/18/2023 7:00:00 PM,12/18/2023 2:00:00 PM,MIDATL,31050
12/18/2023 2:45:00 PM,12/18/2023 9:45:00 AM,12/18/2023 7:00:00 PM,12/18/2023 2:00:00 PM,MIDATL,30561
12/18/2023 10:45:00 AM,12/18/2023 5:45:00 AM,12/18/2023 7:00:00 PM,12/18/2023 2:00:00 PM,MIDATL,30561
12/17/2023 10:45:00 AM,12/17/2023 5:45:00 AM,12/18/2023 8:00:00 PM,12/18/2023 3:00:00 PM,MIDATL,30899
12/17/2023 2:45:00 PM,12/17/2023 9:45:00 AM,12/18/2023 8:00:00 PM,12/18/2023 3:00:00 PM,MIDATL,31183
12/17/2023 4:45:00 PM,12/17/2023 11:45:00 AM,12/18/2023 8:00:00 PM,12/18/2023 3:00:00 PM,MIDATL,31183
12/17/2023 10:45:00 PM,12/17/2023 5:45:00 PM,12/18/2023 8:00:00 PM,12/18/2023 3:00:00 PM,MIDATL,31183
12/18/2023 4:45:00 AM,12/17/2023 11:45:00 PM,12/18/2023 8:00:00 PM,12/18/2023 3:00:00 PM,MIDATL,31183
12/18/2023 4:45:00 PM,12/18/2023 11:45:00 AM,12/18/2023 8:00:00 PM,12/18/2023 3:00:00 PM,MIDATL,31611
